trial,score,capture_rate,alive,w_sep,w_ali,w_coh,r_sep,r_ali,r_coh,p_vmax,p_vmin,p_accel,p_sense,p_capture
17,0.22,0.22,224,0.8047283044975426,0.14220979132538525,0.022007562865795402,0.03822520234106717,0.06707592266905366,0.10359250503791631,0.029968422291482028,0.008121854533524066,0.0006806799691044776,0.31469105795140684,0.02774574165613798
18,0.2075,0.2075,234,1.595871702749549,0.16840340755132838,0.1315840191857243,0.029662142349964313,0.07757082802607877,0.09004001104430945,0.0268974610394954,0.00928965444269223,0.000441729116638574,0.3238104518177126,0.0311897096840935
19,0.375,0.375,100,1.864199159344261,0.1770099466252914,0.19947423705700412,0.04601605100213396,0.10037712469834591,0.14690170752238102,0.03250102431521096,0.007945463674418294,0.0015306947386446931,0.18001626297351167,0.034642777532047725
20,0.26125,0.26125,191,1.3599577183321583,0.05117201076089175,0.18898049959184984,0.011144630035038131,0.0994539653178769,0.15909374466193357,0.033928276663932354,0.008056273258575046,0.0016343884742649251,0.18499499803018704,0.02802686071741978
21,0.34125,0.34125,127,1.8422013182525807,0.17697798961256173,0.05581018942204831,0.04563298252590083,0.08334578739245004,0.14567130524924765,0.03206840399261979,0.009406446677438004,0.001157231819462215,0.23758993184746754,0.034687666420599866
22,0.3625,0.3625,110,1.780047948243016,0.1809803209293047,0.04580055524062519,0.046573136922306725,0.0859465231392735,0.14787600437406948,0.03213796538228813,0.00951586667342609,0.0019649670086200146,0.23796469028845807,0.034956434984530674
23,0.34875,0.34875,121,2.0658925294008914,0.18128839375004124,0.03568590387874253,0.045827539097907447,0.09256912832743239,0.1470913586776442,0.032476603016033695,0.009260323530652547,0.0019996942254187086,0.23446245052438658,0.03222481246885447
24,0.3375,0.3375,130,2.0836789657705843,0.1397351676091429,0.03821702688842823,0.03829224870002375,0.11149191022383637,0.14823855237177733,0.03494188989466912,0.008382905107224094,0.0019829751472727774,0.22408963509237395,0.03236931704768698
25,0.3325,0.3325,134,2.306479450984566,0.1833536545352486,0.04241992228214496,0.04626058935086106,0.09251531172159619,0.13415852570519043,0.03246349866589783,0.007659557812504606,0.0019826437969282457,0.18847187296589363,0.03097951739557896
26,0.36,0.36,112,2.0485508162583126,0.12047270390271461,0.1979178731611817,0.04016869974594432,0.09801400959201399,0.14651521260741837,0.029860559936177828,0.009348666507932797,0.0017856703895808626,0.23281085552007483,0.032819556725298855
27,0.3025,0.3025,158,1.7149119058452602,0.11696281558732326,0.1994945212103317,0.030306702136774197,0.10077707317082898,0.1268524130312696,0.029602502885477514,0.0052560102481324904,0.0017655575724869453,0.20224107336245215,0.029478967463333772
28,0.3475,0.3475,122,1.524776055829604,0.09226752789222335,0.17745417547356424,0.039736760236999076,0.10406887162960146,0.14290899498297724,0.030961500167308715,0.006612492083076399,0.00163038636328117,0.2204258335746522,0.03329529776714513
29,0.2525,0.2525,198,1.671208555548212,0.12793642431614027,0.15732776613091048,0.031625852506596226,0.11127117327996106,0.15536268826598656,0.030045040213090953,0.0054431612378897,0.0018352007664183172,0.24966102151473266,0.025987678507950362
